super_pathway,sub_pathway,challenge,metabolite,platform_name,abs_log2_foldchange,neg_log10_p_value,type
Amino Acids,Glutathione Metabolism,Fasting,cysteine-glutathione disulfide,Metabolon HD4 [nt-ms],0,4.24107005456368,Top by -log10(p_value)
Lipids,Fatty Acid Metabolism (also BCAA Metabolism),PAT,butyrylcarnitine,Metabolon HD4 [nt-ms],0.944031625264094,4.15995421968287,Top by -log10(p_value)
Lipids,Fatty Acid Metabolism (also BCAA Metabolism),PAT,butyrylcarnitine,Metabolon HD4 [nt-ms],0.870475392409181,4.15995421968287,Top by -log10(p_value)
Lipids,Fatty Acid Metabolism (also BCAA Metabolism),PAT,butyrylcarnitine,Metabolon HD4 [nt-ms],0,4.15995421968287,Top by -log10(p_value)
Nucleotides,"Pyrimidine Metabolism, Orotate containing",PAT,dihydroorotate,Metabolon HD4 [nt-ms],0.560045333428239,4.13627949458409,Top by -log10(p_value)
Nucleotides,"Pyrimidine Metabolism, Orotate containing",PAT,dihydroorotate,Metabolon HD4 [nt-ms],0.141622113284908,4.13627949458409,Top by -log10(p_value)
Nucleotides,"Pyrimidine Metabolism, Orotate containing",PAT,dihydroorotate,Metabolon HD4 [nt-ms],0,4.13627949458409,Top by -log10(p_value)
Lipids,Secondary Bile Acid Metabolism,PAT,glycohyocholate,Metabolon HD4 [nt-ms],0.377874358968132,4.0705515851523,Top by -log10(p_value)
Lipids,Secondary Bile Acid Metabolism,PAT,glycohyocholate,Metabolon HD4 [nt-ms],0.0837776531751713,4.0705515851523,Top by -log10(p_value)
Lipids,Secondary Bile Acid Metabolism,PAT,glycohyocholate,Metabolon HD4 [nt-ms],0,4.0705515851523,Top by -log10(p_value)
Lipids,Fatty Acid Metabolism (Acyl Carnitine),PAT,octanoylcarnitine,Metabolon HD4 [nt-ms],0.172404426089581,4.06786435126983,Top by -log10(p_value)
Lipids,Fatty Acid Metabolism (Acyl Carnitine),PAT,octanoylcarnitine,Metabolon HD4 [nt-ms],0.172011448490543,4.06786435126983,Top by -log10(p_value)
Lipids,Fatty Acid Metabolism (Acyl Carnitine),PAT,octanoylcarnitine,Metabolon HD4 [nt-ms],0,4.06786435126983,Top by -log10(p_value)
Cofactors and Vitamins,Pantothenate and CoA Metabolism,OLTT,pantothenate,Metabolon HD4 [nt-ms],0.0286760261547768,3.95792075816641,Top by -log10(p_value)
Cofactors and Vitamins,Pantothenate and CoA Metabolism,OLTT,pantothenate,Metabolon HD4 [nt-ms],0.0124896834816802,3.95792075816641,Top by -log10(p_value)
Cofactors and Vitamins,Pantothenate and CoA Metabolism,OLTT,pantothenate,Metabolon HD4 [nt-ms],0,3.95792075816641,Top by -log10(p_value)
Peptides,Dipeptide Derivative,Fasting,n-acetylcarnosine,Metabolon HD4 [nt-ms],0.311551919563304,3.8866785976078,Top by -log10(p_value)
Peptides,Dipeptide Derivative,Fasting,n-acetylcarnosine,Metabolon HD4 [nt-ms],0.134088037350235,3.8866785976078,Top by -log10(p_value)
Peptides,Dipeptide Derivative,Fasting,n-acetylcarnosine,Metabolon HD4 [nt-ms],0,3.8866785976078,Top by -log10(p_value)
Lipids,Steroid,PAT,21-hydroxypregnenolone monosulfate (1),Metabolon HD4 [nt-ms],0.631460813116249,3.77302371978174,Top by -log10(p_value)
Lipids,Steroid,PAT,21-hydroxypregnenolone monosulfate (1),Metabolon HD4 [nt-ms],0.165336355819317,3.77302371978174,Top by -log10(p_value)
Lipids,Steroid,PAT,21-hydroxypregnenolone monosulfate (1),Metabolon HD4 [nt-ms],0,3.77302371978174,Top by -log10(p_value)
Amino Acids,Tryptophan Metabolism,Fasting,tryptophan,Metabolon HD4 [nt-ms],0.464406934453149,3.74853760770656,Top by -log10(p_value)
Amino Acids,Tryptophan Metabolism,Fasting,tryptophan,Metabolon HD4 [nt-ms],0.423995544787981,3.74853760770656,Top by -log10(p_value)
Amino Acids,Tryptophan Metabolism,Fasting,tryptophan,Metabolon HD4 [nt-ms],0,3.74853760770656,Top by -log10(p_value)
Xenobiotics,Xanthine Metabolism,PAT,"3,7-dimethylurate",Metabolon HD4 [nt-ms],0.43086217314328,3.74330115628036,Top by -log10(p_value)
Xenobiotics,Xanthine Metabolism,PAT,"3,7-dimethylurate",Metabolon HD4 [nt-ms],0.144396956841053,3.74330115628036,Top by -log10(p_value)
Xenobiotics,Xanthine Metabolism,PAT,"3,7-dimethylurate",Metabolon HD4 [nt-ms],0,3.74330115628036,Top by -log10(p_value)
Xenobiotics,Food Component/Plant,PAT,methyl indole-3-acetate,Metabolon HD4 [nt-ms],0.0467328321187717,3.55907086253528,Top by -log10(p_value)
