metabolite,platform,super_pathway,sub_pathway,significant_OGTT_OLTT_SLD,challenge_time,challenge,mean_response,log2_foldchange,p_value,neg_log10_p_value,abs_log2_foldchange
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,240,ogtt,-0.203385073187681,-0.345433372049328,9.2907339969601e-09,8.03194997403249,0.345433372049328
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,0,oltt,0.799199563115012,0,1.01749676429795e-14,13.9924669631836,0
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,30,oltt,0.537193920327348,-0.262005642787664,1.01749676429795e-14,13.9924669631836,0.262005642787664
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,60,oltt,0.125189461181428,-0.674010101933583,1.01749676429795e-14,13.9924669631836,0.674010101933583
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,90,oltt,-0.23226352954147,-1.03146309265648,1.01749676429795e-14,13.9924669631836,1.03146309265648
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,120,oltt,-0.452285153574574,-1.25148471668959,1.01749676429795e-14,13.9924669631836,1.25148471668959
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,180,oltt,-0.398884472826211,-1.19808403594122,1.01749676429795e-14,13.9924669631836,1.19808403594122
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,240,oltt,-0.247675304412612,-1.04687486752762,1.01749676429795e-14,13.9924669631836,1.04687486752762
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,0,sld,-0.203385073187681,0,2.07052423520343e-09,8.68391968177425,0
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,60,sld,-0.602569767791398,-0.399184694603717,2.07052423520343e-09,8.68391968177425,0.399184694603717
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,120,sld,-1.24828346636414,-1.04489839317645,2.07052423520343e-09,8.68391968177425,1.04489839317645
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,180,sld,-1.13023386123107,-0.926848788043387,2.07052423520343e-09,8.68391968177425,0.926848788043387
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,240,sld,-0.646536222705846,-0.443151149518165,2.07052423520343e-09,8.68391968177425,0.443151149518165
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,0,ogtt,-0.239373087346515,0,1.06627392927524e-08,7.97213120929633,0
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,15,ogtt,-0.24325602669776,-0.00388293935124456,1.06627392927524e-08,7.97213120929633,0.00388293935124456
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,30,ogtt,-0.198122147823706,0.0412509395228088,1.06627392927524e-08,7.97213120929633,0.0412509395228088
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,45,ogtt,-0.241537063543263,-0.00216397619674813,1.06627392927524e-08,7.97213120929633,0.00216397619674813
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,60,ogtt,-0.240954010089719,-0.00158092274320421,1.06627392927524e-08,7.97213120929633,0.00158092274320421
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,90,ogtt,-0.353247542452586,-0.113874455106071,1.06627392927524e-08,7.97213120929633,0.113874455106071
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,120,ogtt,-0.410544245918643,-0.171171158572128,1.06627392927524e-08,7.97213120929633,0.171171158572128
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,180,ogtt,-0.538748923084176,-0.299375835737661,1.06627392927524e-08,7.97213120929633,0.299375835737661
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,240,ogtt,-0.63118525749697,-0.391812170150455,1.06627392927524e-08,7.97213120929633,0.391812170150455
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,0,oltt,0.238028125112938,0,7.69378257873882e-07,6.11386009073367,0
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,30,oltt,0.238178004509512,0.000149879396573488,7.69378257873882e-07,6.11386009073367,0.000149879396573488
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,60,oltt,0.295056874120066,0.0570287490071281,7.69378257873882e-07,6.11386009073367,0.0570287490071281
